date	unique_recievers
2023-05-20	154696
2023-05-19	154606
2023-05-18	152556
2023-05-17	140041
2023-05-16	143487
2023-05-15	148417
2023-05-14	123800
2023-05-13	118243
2023-05-12	134612
2023-05-11	170568
2023-05-10	141167
2023-05-09	132182
2023-05-08	126025
2023-05-07	102149
2023-05-06	118857
2023-05-05	128727
2023-05-04	129306
2023-05-03	119773
2023-05-02	142505
2023-05-01	146701
2023-04-30	140236
2023-04-29	133179
2023-04-28	139273
2023-04-27	154344
2023-04-26	134359
2023-04-25	160693
2023-04-24	158373
2023-04-23	121886
2023-04-22	131658
2023-04-21	152991
2023-04-20	150286
2023-04-19	148271
2023-04-18	144825
2023-04-17	136214
2023-04-16	136982
2023-04-15	139487
2023-04-14	143826
2023-04-13	135778
2023-04-12	136741
2023-04-11	153876
2023-04-10	145380
2023-04-09	133963
2023-04-08	143645
2023-04-07	152263
2023-04-06	159240
2023-04-05	166781
2023-04-04	151752
2023-04-03	152028
2023-04-02	137069
2023-04-01	167738
2023-03-31	181183
2023-03-30	162317
2023-03-29	168456
2023-03-28	172766
2023-03-27	151768
2023-03-26	142061
2023-03-25	154970
2023-03-24	162504
2023-03-23	154540
2023-03-22	149801
2023-03-21	155482
2023-03-20	214625
2023-03-19	166246
2023-03-18	179500
2023-03-17	176816
2023-03-16	138864
2023-03-15	137359
2023-03-14	150932
2023-03-13	145339
2023-03-12	116034
2023-03-11	124251
2023-03-10	150229
2023-03-09	135625
2023-03-08	124103
2023-03-07	132711
2023-03-06	132354
2023-03-05	118373
2023-03-04	122827
2023-03-03	130132
2023-03-02	139567
2023-03-01	133838
2023-02-28	123014
2023-02-27	127920
2023-02-26	125060
2023-02-25	122324
2023-02-24	141828
2023-02-23	125057
2023-02-22	121440
2023-02-21	123643
2023-02-20	136211
2023-02-19	122294
2023-02-18	120133
2023-02-17	131999
2023-02-16	139825
2023-02-15	146307
2023-02-14	129594
2023-02-13	145607
2023-02-12	127867
2023-02-11	137598
2023-02-10	139565
2023-02-09	128626
2023-02-08	144527
2023-02-07	129721
2023-02-06	112878
2023-02-05	110030
2023-02-04	111787
2023-02-03	127462
2023-02-02	145294
2023-02-01	135572
2023-01-31	129337
2023-01-30	124707
2023-01-29	112349
2023-01-28	118656
2023-01-27	121359
2023-01-26	124480
2023-01-25	133376
2023-01-24	113043
2023-01-23	104291
2023-01-22	115160
2023-01-21	118010
2023-01-20	120830
2023-01-19	122686
2023-01-18	121325
2023-01-17	129590
2023-01-16	121565
2023-01-15	102915
2023-01-14	110833
2023-01-13	114984
2023-01-12	127111
2023-01-11	144673
2023-01-10	141779
2023-01-09	142621
2023-01-08	162450
2023-01-07	114413
2023-01-06	192976
2023-01-05	182729
2023-01-04	151248
2023-01-03	174003
2023-01-02	170098
2023-01-01	173449
2022-12-31	186485
2022-12-30	150468
2022-12-29	124785
2022-12-28	135835
2022-12-27	125545
2022-12-26	136414
2022-12-25	178973
2022-12-24	126278
2022-12-23	140401
2022-12-22	136840
2022-12-21	142598
2022-12-20	166553
2022-12-19	156409
2022-12-18	158121
2022-12-17	178971
2022-12-16	146182
2022-12-15	148405
2022-12-14	202515
2022-12-13	154548
2022-12-12	125050
2022-12-11	134055
2022-12-10	133165
2022-12-09	152808
2022-12-08	153599
2022-12-07	140490
2022-12-06	121081
2022-12-05	120706
2022-12-04	169370
2022-12-03	217318
2022-12-02	206178
2022-12-01	167931
2022-11-30	153744
2022-11-29	161048
2022-11-28	167804
2022-11-27	155330
2022-11-26	129245
2022-11-25	162009
2022-11-24	173900
2022-11-23	183534
2022-11-22	148097
2022-11-21	175567
2022-11-20	135305
2022-11-19	124467
2022-11-18	131567
2022-11-17	127112
2022-11-16	137608
2022-11-15	145818
2022-11-14	144461
2022-11-13	141305
2022-11-12	158925
2022-11-11	152014
2022-11-10	181328
2022-11-09	140659
2022-11-08	123455
2022-11-07	149071
2022-11-06	131209
2022-11-05	141237
2022-11-04	142687
2022-11-03	123336
2022-11-02	116352
2022-11-01	112648
2022-10-31	112115
2022-10-30	121138
2022-10-29	118261
2022-10-28	133350
2022-10-27	141572
2022-10-26	110241
2022-10-25	101373
2022-10-24	116672
2022-10-23	138353
2022-10-22	137806
2022-10-21	149408
2022-10-20	136356
2022-10-19	121919
2022-10-18	120212
2022-10-17	132300
2022-10-16	141826
2022-10-15	170308
2022-10-14	170389
2022-10-13	227390
2022-10-12	197434
2022-10-11	163325
2022-10-10	222969
2022-10-09	179845
2022-10-08	206378
2022-10-07	161562
2022-10-06	141720
2022-10-05	176392
2022-10-04	151400
2022-10-03	161384
2022-10-02	158750
2022-10-01	134829
2022-09-30	125514
2022-09-29	162499
2022-09-28	189512
2022-09-27	179091
2022-09-26	157620
2022-09-25	132411
2022-09-24	103161
2022-09-23	94283
2022-09-22	97906
2022-09-21	104596
2022-09-20	106168
2022-09-19	121345
2022-09-18	91487
2022-09-17	105019
2022-09-16	109658
2022-09-15	108443
2022-09-14	88092
2022-09-13	103485
2022-09-12	94708
2022-09-11	93550
2022-09-10	87668
2022-09-09	96877
2022-09-08	110072
2022-09-07	120816
2022-09-06	100927
2022-09-05	98992
2022-09-04	99112
2022-09-03	93885
2022-09-02	106469
2022-09-01	129260
2022-08-31	99175
2022-08-30	143370
2022-08-29	104886
2022-08-28	86240
2022-08-27	84989
2022-08-26	91767
2022-08-25	90758
2022-08-24	106663
2022-08-23	118975
2022-08-22	92037
2022-08-21	76078
2022-08-20	70174
2022-08-19	80487
2022-08-18	82856
2022-08-17	83967
2022-08-16	90937
2022-08-15	95455
2022-08-14	81281
2022-08-13	89311
2022-08-12	88475
2022-08-11	89085
2022-08-10	81236
2022-08-09	83358
2022-08-08	84181
2022-08-07	69804
2022-08-06	74960
2022-08-05	80962
2022-08-04	80591
2022-08-03	100204
2022-08-02	80654
2022-08-01	104398
2022-07-31	81211
2022-07-30	91897
2022-07-29	89739
2022-07-28	91311
2022-07-27	97373
2022-07-26	79278
2022-07-25	93717
2022-07-24	76881
2022-07-23	78204
2022-07-22	84689
2022-07-21	107962
2022-07-20	81972
2022-07-19	87971
2022-07-18	103489
2022-07-17	75916
2022-07-16	70493
2022-07-15	79964
2022-07-14	92166
2022-07-13	87709
2022-07-12	74193
2022-07-11	78753
2022-07-10	69302
2022-07-09	76222
2022-07-08	82880
2022-07-07	92900
2022-07-06	91367
2022-07-05	82011
2022-07-04	76174
2022-07-03	67368
2022-07-02	75170
2022-07-01	95433
2022-06-30	108202
2022-06-29	116924
2022-06-28	103463
2022-06-27	119123
2022-06-26	104537
2022-06-25	92114
2022-06-24	124647
2022-06-23	104955
2022-06-22	96388
2022-06-21	102084
2022-06-20	94718
2022-06-19	82268
2022-06-18	80036
2022-06-17	85956
2022-06-16	99238
2022-06-15	96137
2022-06-14	93887
2022-06-13	85327
2022-06-12	71171
2022-06-11	79253
2022-06-10	136381
2022-06-09	94951
2022-06-08	100222
2022-06-07	102165
2022-06-06	86515
2022-06-05	81495
2022-06-04	68389
2022-06-03	75181
2022-06-02	75107
2022-06-01	78674
2022-05-31	80835
2022-05-30	84893
2022-05-29	82428
2022-05-28	75807
2022-05-27	83505
2022-05-26	76158
2022-05-25	84042
2022-05-24	74889
2022-05-23	76749
2022-05-22	61064
2022-05-21	65502
2022-05-20	82108
2022-05-19	72541
2022-05-18	77940
2022-05-17	77510
2022-05-16	103144
2022-05-15	69409
2022-05-14	86523
2022-05-13	105991
2022-05-12	81581
2022-05-11	85108
2022-05-10	95946
2022-05-09	100499
2022-05-08	89965
2022-05-07	89874
2022-05-06	101411
2022-05-05	109828
2022-05-04	112080
2022-05-03	99530
2022-05-02	90042
2022-05-01	91155
2022-04-30	94214
2022-04-29	101620
2022-04-28	102945
2022-04-27	98840
2022-04-26	93746
2022-04-25	95748
2022-04-24	89570
2022-04-23	83524
2022-04-22	97399
2022-04-21	97563
2022-04-20	104442
2022-04-19	107412
2022-04-18	96539
2022-04-17	89077
2022-04-16	95177
2022-04-15	92285
2022-04-14	85812
2022-04-13	94811
2022-04-12	98312
2022-04-11	96488
2022-04-10	85982
2022-04-09	88393
2022-04-08	109957
2022-04-07	113175
2022-04-06	106469
2022-04-05	105081
2022-04-04	92532
2022-04-03	99641
2022-04-02	105828
2022-04-01	90146
2022-03-31	91285
2022-03-30	85720
2022-03-29	87552
2022-03-28	90247
2022-03-27	78005
2022-03-26	74641
2022-03-25	82043
2022-03-24	85118
2022-03-23	82144
2022-03-22	80743
2022-03-21	76466
2022-03-20	76745
2022-03-19	76135
2022-03-18	72216
2022-03-17	97633
