date	unique_recievers
2023-05-20	566278
2023-05-19	681289
2023-05-18	614020
2023-05-17	635877
2023-05-16	629403
2023-05-15	587108
2023-05-14	578713
2023-05-13	566340
2023-05-12	612595
2023-05-11	603266
2023-05-10	688261
2023-05-09	587604
2023-05-08	553180
2023-05-07	483077
2023-05-06	621380
2023-05-05	653812
2023-05-04	682190
2023-05-03	731213
2023-05-02	622222
2023-05-01	700366
2023-04-30	615204
2023-04-29	631290
2023-04-28	728226
2023-04-27	675585
2023-04-26	670981
2023-04-25	666323
2023-04-24	637420
2023-04-23	607925
2023-04-22	658453
2023-04-21	776054
2023-04-20	679540
2023-04-19	683215
2023-04-18	685280
2023-04-17	670180
2023-04-16	562870
2023-04-15	648401
2023-04-14	733665
2023-04-13	724545
2023-04-12	718628
2023-04-11	799036
2023-04-10	638051
2023-04-09	578469
2023-04-08	671520
2023-04-07	759274
2023-04-06	784448
2023-04-05	741296
2023-04-04	826485
2023-04-03	690121
2023-04-02	670122
2023-04-01	725029
2023-03-31	744167
2023-03-30	731697
2023-03-29	731556
2023-03-28	687434
2023-03-27	671829
2023-03-26	597899
2023-03-25	663780
2023-03-24	687189
2023-03-23	680587
2023-03-22	691329
2023-03-21	711854
2023-03-20	728553
2023-03-19	622099
2023-03-18	694679
2023-03-17	771832
2023-03-16	690047
2023-03-15	753155
2023-03-14	731683
2023-03-13	728804
2023-03-12	624221
2023-03-11	724711
2023-03-10	764511
2023-03-09	703346
2023-03-08	658688
2023-03-07	774737
2023-03-06	674162
2023-03-05	632970
2023-03-04	681627
2023-03-03	810153
2023-03-02	728794
2023-03-01	829727
2023-02-28	734137
2023-02-27	647221
2023-02-26	631721
2023-02-25	628838
2023-02-24	698498
2023-02-23	696433
2023-02-22	663467
2023-02-21	657639
2023-02-20	618400
2023-02-19	572441
2023-02-18	659190
2023-02-17	719216
2023-02-16	762182
2023-02-15	726470
2023-02-14	678311
2023-02-13	669739
2023-02-12	632509
2023-02-11	645440
2023-02-10	703226
2023-02-09	786838
2023-02-08	685520
2023-02-07	690979
2023-02-06	666869
2023-02-05	599040
2023-02-04	694776
2023-02-03	741011
2023-02-02	756008
2023-02-01	749137
2023-01-31	712087
2023-01-30	670618
2023-01-29	621082
2023-01-28	641888
2023-01-27	702651
2023-01-26	673436
2023-01-25	691965
2023-01-24	663896
2023-01-23	654962
2023-01-22	613339
2023-01-21	680181
2023-01-20	704720
2023-01-19	687955
2023-01-18	684933
2023-01-17	684022
2023-01-16	681052
2023-01-15	609079
2023-01-14	729269
2023-01-13	746952
2023-01-12	720450
2023-01-11	663958
2023-01-10	698616
2023-01-09	666318
2023-01-08	570378
2023-01-07	608412
2023-01-06	690011
2023-01-05	685747
2023-01-04	656407
2023-01-03	648942
2023-01-02	579142
2023-01-01	513432
2022-12-31	622215
2022-12-30	728918
2022-12-29	671072
2022-12-28	664292
2022-12-27	595714
2022-12-26	551347
2022-12-25	524892
2022-12-24	564278
2022-12-23	682833
2022-12-22	668353
2022-12-21	657052
2022-12-20	656992
2022-12-19	628614
2022-12-18	562672
2022-12-17	678542
2022-12-16	678180
2022-12-15	694265
2022-12-14	676708
2022-12-13	714974
2022-12-12	643375
2022-12-11	575991
2022-12-10	620461
2022-12-09	667377
2022-12-08	651335
2022-12-07	657594
2022-12-06	641215
2022-12-05	659617
2022-12-04	574684
2022-12-03	654404
2022-12-02	689531
2022-12-01	708037
2022-11-30	659724
2022-11-29	662388
2022-11-28	634902
2022-11-27	573821
2022-11-26	600378
2022-11-25	642501
2022-11-24	644791
2022-11-23	699812
2022-11-22	627101
2022-11-21	664847
2022-11-20	600668
2022-11-19	650603
2022-11-18	700137
2022-11-17	638467
2022-11-16	672632
2022-11-15	705788
2022-11-14	664914
2022-11-13	660547
2022-11-12	682264
2022-11-11	751790
2022-11-10	778856
2022-11-09	758104
2022-11-08	724286
2022-11-07	648090
2022-11-06	581997
2022-11-05	653775
2022-11-04	692763
2022-11-03	722950
2022-11-02	634395
2022-11-01	671447
2022-10-31	674103
2022-10-30	599263
2022-10-29	672758
2022-10-28	683444
2022-10-27	652357
2022-10-26	688543
2022-10-25	605517
2022-10-24	634016
2022-10-23	587053
2022-10-22	603891
2022-10-21	675668
2022-10-20	638533
2022-10-19	616004
2022-10-18	618608
2022-10-17	617658
2022-10-16	563847
2022-10-15	618216
2022-10-14	698333
2022-10-13	695338
2022-10-12	650227
2022-10-11	640524
2022-10-10	624867
2022-10-09	558483
2022-10-08	615734
2022-10-07	680133
2022-10-06	683266
2022-10-05	649892
2022-10-04	660561
2022-10-03	660715
2022-10-02	575171
2022-10-01	633286
2022-09-30	722734
2022-09-29	656650
2022-09-28	625984
2022-09-27	652620
2022-09-26	619364
2022-09-25	578926
2022-09-24	593749
2022-09-23	694058
2022-09-22	618914
2022-09-21	636810
2022-09-20	655166
2022-09-19	635473
2022-09-18	561729
2022-09-17	647140
2022-09-16	710583
2022-09-15	704507
2022-09-14	690303
2022-09-13	665987
2022-09-12	668199
2022-09-11	610224
2022-09-10	648837
2022-09-09	756256
2022-09-08	687876
2022-09-07	679120
2022-09-06	660646
2022-09-05	631781
2022-09-04	544401
2022-09-03	644809
2022-09-02	713592
2022-09-01	688513
2022-08-31	655140
2022-08-30	663258
2022-08-29	644473
2022-08-28	550432
2022-08-27	607735
