date	failed_transaction_count	sender	receiver
2024-03-12	1	0x743b5b87e8f9087f70ec0d6c4acbf3eea1a2e19d	0x6b175474e89094c44da98b954eedeac495271d0f
2024-03-12	1	0x8938c95b8dac231885bd977689a3015e21e0f814	0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49
2024-03-12	1	0xa45e0ad23abeaca5d0976ea102bdb6c95617f43e	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x5e7911d5d18fb8c591d88e5afe1993751b52af07	0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49
2024-03-12	1	0x61216840ee6bc674d1f618adfe3039691a58ca81	0x1111111254eeb25477b68fb85ed929f73a960582
2024-03-12	1	0x18fc0ed21352def8ebbd63ab660c40e9ec3b38ed	0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74
2024-03-12	1	0x86220dd4cc63e8440047fc87a6ac37c634f090db	0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
2024-03-12	1	0xa68ca06e1740e7ffb8f65145011e339e7798bfb6	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x388461ea71f1d856f790bc57b738b1f16da5cbb3	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x7ee5ee6f16ed7408804041df41f717a2a0a6931f	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	1	0xb57c616eebe96840e7fa1bd1eadf05a3b73821df	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	2	0xe5a343a6aec1ac214a6b7c329f069ba28c9f6d4f	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xbdd64da092026112957bd7f12f43c57fe4dcdfe2	0xddb1259d3707ebf95f036a2ab44cb32a4e09795a
2024-03-12	1	0x5fa0b393bdbcfdb0e2c1bac78b884c5d851bede4	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	2	0x597e3615679e23703ecdcf84fed6bca0d8d08536	0x38f1f6a151814b8a8a50664e41712cf75415e230
2024-03-12	1	0xea47ac15029691b13eef44769b673d65ba4adbc0	0x762340b8a40cdd5bfc3edd94265899fda345d0e3
2024-03-12	2	0xfedef76229b33601ee018a8f0c8a8681c1adb91a	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
2024-03-12	1	0xc9641d188312732ad76ef46a2be520fdcdd68d9f	0x14778860e937f509e651192a90589de711fb88a9
2024-03-12	1	0x16d569b10b364089687d7d4cf184bf75ab05289f	0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e
2024-03-12	1	0x16cf21f6859fff1532caa7d72d8ab4d1948d3b94	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xf55fca00e862a6035a8f3336046cdd79cb4bea5b	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x5996c4ff47c8711dae001f4556a4512ae1051dcc	0xc059a531b4234d05e9ef4ac51028f7e6156e2cce
2024-03-12	1	0x92bd2fc032f46bbfd63e598277efe7296a8b6c32	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	2	0x5e61db8eae93748471e0da4e67d42c7fd7c433be	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x2d630830d06bbaaab27abbb159fe410d2242a31b	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	1	0x552d07f6399016bda3dc06e450c5db22710debc2	0x881d40237659c251811cec9c364ef91dc08d300c
2024-03-12	1	0x056e0771eda62bdbdf5509dd2bbc0e1854fd224a	0x21ec102c3688e9ea05605545216ebc9a21461d81
2024-03-12	1	0x9d825c29495290f4104b3d199f47f47a8a810642	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	3	0x5b2c47d89d08e748eac86312580c8dfae0eccd57	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	1	0x455fedd5b2f0b587c6c555858272236cc7a81dc4	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	2	0xad0f15976e19eacdc87b10602b728815c8ef3f39	0xf3de3c0d654fda23dad170f0f320a92172509127
2024-03-12	2	0x429b1b4e4a55359fd29e0c6d5815aed95cd7b83e	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	8	0x76bcf01d7ecefaca0723ffc2bd0507d0382b37bb	0x88795c1b156d460b18c67ecc75ed129815a4a5f9
2024-03-12	1	0xddeb598fe902a13cc523aaff5240e9988edce170	0x85fbd46eded893392e52a02bc5ac0294fb06f88d
2024-03-12	3	0xb18ccf69940177f3ec62920ddb2a08ef7cb16e8f	0xd249942f6d417cbfdcb792b1229353b66c790726
2024-03-12	1	0x5d21fdfdb94e47429e0d35ab93c4903018e7a4b0	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xaf75d78213a4636dfd9cb346196db1605ee868d9	0x8707f238936c12c309bfc2b9959c35828acfc512
2024-03-12	2	0xeb82124971eb608932806dbf2cff672e151dccdc	0x521ad3b153a7900fce488a1f6baab45b05ef86b8
2024-03-12	2	0x766c0977a22529696c6e5d60ba3e67ca32c4131d	0x00000000000000adc04c56bf30ac9d3c0aaf14dc
2024-03-12	1	0x5186f5879e7f47e39e7ce901571a28cccff1ca44	0x9d92d13cb107f6b847110986808f269eb42432a9
2024-03-12	1	0xf56df92e3c75cb6aaa4c5b3ec109788da128915b	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
2024-03-12	1	0xa080a45ffa16fa1c9ad21c3a3fd08869d58ef7f6	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	4	0x31c8014df10c3e29f64a007a8787ae00b541657f	0xdef1c0ded9bec7f1a1670819833240f027b25eff
2024-03-12	1	0x0d57bdbc07641ad46b4f475e9bd79f6ee2bb090b	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	2	0x88dac4b8cac2bf3a523979cff3326d5e08183cee	0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
2024-03-12	2	0xdc4968cb2948b228852dfd10cb58feda2de23fe1	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x2f3b842ec7fd86e483a261a637e03e25dc96e3df	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xadcc9f67dfd3848a96b55a7b79386e3eadb4f046	0x81615bfeda600307ef73f0a104c3ad6545aaa0bc
2024-03-12	1	0xb066f3d7739964bdc529290af218f6c3ec5849f4	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x7d473091e588513c357a5addac854a106ff87f3a	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xa5c289a54f7c0a71d93f58621bdd3636f504aea1	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	5	0xddf58fef5dce5b805448e84b0b123519e0ed74c8	0x2ec705d306b51e486b1bc0d6ebee708e0661add1
2024-03-12	2	0x1b4b8d0d6e523c7ef8d917b97c44f41b84a69cab	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	1	0xe33812bb8595c55c6b15a0f78af034da9e290707	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x7803b2bb6a95b8514f51e2e9eb9f4b7d14e9f494	0x1111111254eeb25477b68fb85ed929f73a960582
2024-03-12	1	0x949ca494e4c620f7a65b7a908ffede9e7f886415	0xc059a531b4234d05e9ef4ac51028f7e6156e2cce
2024-03-12	1	0x39b0397f8feedc70fbfe4676ac2dedbba6678387	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xf05a057920a514c1a03dfa49b7a1aaeb0cfd89f8	0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
2024-03-12	1	0xe114aba91508e9d8a1e7001686fdc7aff828e046	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	1	0x711d0a8a483728a14743c0914efeed98d53dd9fc	0x78a0a62fba6fb21a83fe8a3433d44c73a4017a6f
2024-03-12	1	0xa1467abdd8a8c0003fa10d80a336f822600e684e	0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74
2024-03-12	1	0xf5d8fe42b8217fa0cd70fc4400ad0d19514fe946	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x6efccb18b9404bb0ad4fc73bea15dae9f672790a	0x49048044d57e1c92a77f79988d21fa8faf74e97e
2024-03-12	1	0x1e8d4740cf47ee66a316b30cd71e83e8bd66126a	0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321
2024-03-12	1	0xa931e16950e5956a3a480157220399316425cc1b	0xe5bba2bde7d4192d4b986e9e87a39f0c0dadeb38
2024-03-12	2	0x82eb4a1d36d207821c7ccef9182a32706d23180f	0xf3de3c0d654fda23dad170f0f320a92172509127
2024-03-12	1	0xaeed1a6042484b920c4e9a23d9e5e67525c03194	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xf1ecfa907a575f48289dc540c1cd07c6bafb2fe2	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	3	0x33baac8b249afcd8952fba5b789d81ef53a300c5	0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49
2024-03-12	1	0x4b98a0b62357f42e6aef96375df7e628b1f6798b	0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2024-03-12	2	0xe04e8201a349168c74de356c5938e6638390fe33	0x6352a56caadc4f1e25cd6c75970fa768a3304e64
2024-03-12	1	0x307d377b7b2474cc159eb95a3aef0c45c5fef24a	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0xfae3f966c970c7b5ef506265eda4bde8b6c62baa	0xd1d2eb1b1e90b638588728b4130137d262c87cae
2024-03-12	1	0xa31249be30789c09d755e235f8a3e8463e0ab9a0	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	4	0x26312c714bfa3ac08b5300900b9e81a05d329aaf	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x21fd08a5dd27ae6c1f4550f7c1114ace78a837bf	0xb517850510997a34b4ddc8c3797b4f83fad510c4
2024-03-12	1	0x2216e844152540bd03032f9a77659805683f89be	0x6a153cdf5cc58f47c17d6a6b0187c25c86d1acfd
2024-03-12	1	0xc48e6ea50bde9c47ea2a95b793f7279b0f60c155	0xba12222222228d8ba445958a75a0704d566bf2c8
2024-03-12	1	0xf2c2146e647e95a281818aaff8c39d25f8ba2a5d	0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430
2024-03-12	3	0xcddd114416940e4f4f1b3feb2e0b5b021182aeea	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	1	0x6e4d9e6b74525f9732733fcfa551e95e5734d78d	0x126c9f453f67e3b3ab51a9f606e540f495e6238d
2024-03-12	2	0x8404c90be596dc39b61afc58b66c27c9e05af664	0xdac17f958d2ee523a2206206994597c13d831ec7
2024-03-12	1	0xd8875e4341dbf3c5660b061d7d5781342fb5f452	0x1111111254eeb25477b68fb85ed929f73a960582
2024-03-12	1	0x61d2590413998c210478eb4dc429d8cb58ac7cb5	0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49
2024-03-12	1	0xff74f72c9d81405048eccc119562c2d4217971d8	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
2024-03-12	2	0x10b494a59cc59b3bd810e296f5ff8ad96bcbf325	0xd1d2eb1b1e90b638588728b4130137d262c87cae
2024-03-12	2	0x706167d08a39bb661121acccd1cbe5df66823743	0xdef1c0ded9bec7f1a1670819833240f027b25eff
2024-03-12	1	0xfcf0432cc6ad8d0ba6387602e2c0646cd29b49e4	0xdef1c0ded9bec7f1a1670819833240f027b25eff
2024-03-12	1	0x64f74c0323e78d88fc63625cbbb6534586dda063	0x881d40237659c251811cec9c364ef91dc08d300c
2024-03-12	1	0x70863e2be17ebb182859986bb878d5d19484e555	0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad
