date	total_gas_fee
2022-10-21	3743.149915
2022-10-20	3854.179736
2022-10-19	3324.602226
2022-10-18	3023.397926
2022-10-17	2799.480327
2022-10-16	1841.875787
2022-10-15	2061.470861
2022-10-14	2229.526935
2022-10-13	2859.351455
2022-10-12	2398.516902
2022-10-11	3161.329246
2022-10-10	4064.611996
2022-10-09	3358.812116
2022-10-08	2297.000878
2022-10-07	1482.945874
2022-10-06	1655.659531
2022-10-05	2057.144451
2022-10-04	1884.205776
2022-10-03	1903.683226
2022-10-02	886.480053
2022-10-01	1203.33012
2022-09-30	2034.835822
2022-09-29	1918.969873
2022-09-28	2047.906377
2022-09-27	2306.752502
2022-09-26	1673.175858
2022-09-25	1108.91117
2022-09-24	911.612658
2022-09-23	1329.921003
2022-09-22	1440.498357
2022-09-21	1874.961712
2022-09-20	1629.50786
2022-09-19	1455.376046
2022-09-18	1181.414931
2022-09-17	956.868797
2022-09-16	1435.674073
2022-09-15	2298.817506
2022-09-14	1543.272705
2022-09-13	2162.504814
2022-09-12	1928.107213
2022-09-11	1207.698697
2022-09-10	1378.743419
2022-09-09	2319.385924
2022-09-08	2472.472193
2022-09-07	2305.713626
2022-09-06	1852.328063
2022-09-05	1314.994669
2022-09-04	1062.720776
2022-09-03	961.468895
2022-09-02	1611.335423
2022-09-01	2227.313994
2022-08-31	2455.016006
2022-08-30	2223.892904
2022-08-29	1862.747434
2022-08-28	1070.840875
2022-08-27	1074.657304
2022-08-26	1685.648333
2022-08-25	1757.093092
2022-08-24	1482.714426
2022-08-23	1583.449742
2022-08-22	1673.844633
2022-08-21	983.813519
2022-08-20	1359.639415
2022-08-19	2033.833618
2022-08-18	1485.991535
2022-08-17	1520.422165
2022-08-16	1471.081504
2022-08-15	2265.147786
2022-08-14	1376.401644
2022-08-13	1293.500824
2022-08-12	2002.916304
2022-08-11	2584.305705
2022-08-10	3164.57385
2022-08-09	2145.391856
2022-08-08	2050.172869
2022-08-07	1188.237265
2022-08-06	1110.424055
2022-08-05	1725.9113
2022-08-04	1613.055884
2022-08-03	1534.482298
2022-08-02	1733.392222
2022-08-01	2370.811481
2022-07-31	1119.772488
2022-07-30	1177.666198
2022-07-29	1926.846957
2022-07-28	2680.251791
2022-07-27	2413.159958
2022-07-26	2612.996077
2022-07-25	2273.947167
2022-07-24	1305.749725
2022-07-23	1580.852434
2022-07-22	1897.574881
2022-07-21	2437.556529
2022-07-20	3335.759505
2022-07-19	3500.540438
2022-07-18	3481.56601
2022-07-17	2492.070463
2022-07-16	2675.316202
2022-07-15	3446.781727
2022-07-14	3796.408629
2022-07-13	3305.025116
2022-07-12	2765.792911
2022-07-11	3229.415877
