date	total_num_addresses
2023-05-07	567445
2023-05-06	767118
2023-05-05	831530
2023-05-04	904617
2023-05-03	964920
2023-05-02	815626
2023-05-01	933809
2023-04-30	782782
2023-04-29	811292
2023-04-28	955033
2023-04-27	897822
2023-04-26	893665
2023-04-25	906982
2023-04-24	983636
2023-04-23	842549
2023-04-22	921038
2023-04-21	1036355
2023-04-20	953756
2023-04-19	994818
2023-04-18	1149961
2023-04-17	987873
2023-04-16	838013
2023-04-15	1052383
2023-04-14	1016870
2023-04-13	1020560
2023-04-12	1046999
2023-04-11	1160423
2023-04-10	948055
2023-04-09	936841
2023-04-08	873000
2023-04-07	974883
2023-04-06	1038298
2023-04-05	962257
2023-04-04	1126607
2023-04-03	975912
2023-04-02	1015069
2023-04-01	1047870
2023-03-31	1044871
2023-03-30	1018397
2023-03-29	992610
2023-03-28	977256
2023-03-27	1055338
2023-03-26	838165
2023-03-25	909390
2023-03-24	886593
2023-03-23	915894
2023-03-22	944070
2023-03-21	985637
2023-03-20	1023019
2023-03-19	849038
2023-03-18	972557
2023-03-17	1074437
2023-03-16	893376
2023-03-15	1015004
2023-03-14	1028332
2023-03-13	995257
2023-03-12	891560
2023-03-11	975440
2023-03-10	993874
2023-03-09	930069
2023-03-08	895631
2023-03-07	1067377
2023-03-06	928914
2023-03-05	995109
2023-03-04	907044
2023-03-03	1089648
2023-03-02	943944
2023-03-01	1086910
2023-02-28	985104
2023-02-27	971028
2023-02-26	918618
2023-02-25	817375
2023-02-24	964183
2023-02-23	1079195
2023-02-22	942922
2023-02-21	1015220
2023-02-20	910033
2023-02-19	920448
2023-02-18	1054449
2023-02-17	1052081
2023-02-16	1127027
2023-02-15	994080
2023-02-14	912315
2023-02-13	970819
2023-02-12	876806
2023-02-11	883953
2023-02-10	916853
2023-02-09	1074333
2023-02-08	945889
2023-02-07	933987
2023-02-06	915864
2023-02-05	809568
2023-02-04	977809
2023-02-03	993120
2023-02-02	1004623
2023-02-01	1054557
2023-01-31	948426
2023-01-30	948343
2023-01-29	835444
2023-01-28	862388
2023-01-27	928369
2023-01-26	901563
