date	total_num_addresses
2021-06-30	41871
2021-06-29	51770
2021-06-28	50488
2021-06-27	47348
2021-06-26	47683
2021-06-25	49051
2021-06-24	49694
2021-06-23	50108
2021-06-22	51404
2021-06-21	58341
2021-06-20	42861
2021-06-19	30279
2021-06-18	9576
2021-06-17	52436
2021-06-16	58750
2021-06-15	59355
2021-06-14	58041
2021-06-13	50677
2021-06-12	56052
2021-06-11	54743
2021-06-10	56333
2021-06-09	57059
2021-06-08	60759
2021-06-07	58793
2021-06-06	55405
2021-06-05	55724
2021-06-04	55446
2021-06-03	56656
2021-06-02	59649
2021-06-01	58129
2021-05-31	55911
2021-05-30	54523
2021-05-29	55394
2021-05-28	57413
2021-05-27	57284
2021-05-26	45626
2021-05-25	51213
2021-05-24	59253
2021-05-23	58639
2021-05-22	51705
2021-05-21	58322
2021-05-20	59490
2021-05-19	59131
2021-05-18	57341
2021-05-17	58130
2021-05-16	43780
2021-05-15	25504
2021-05-14	43996
2021-05-13	60798
2021-05-12	65831
2021-05-11	60860
2021-05-10	62318
2021-05-09	62367
2021-05-08	60258
2021-05-07	63556
2021-05-06	69391
2021-05-05	56679
2021-05-04	60219
2021-05-03	60262
2021-05-02	69157
2021-05-01	34151
2021-04-30	55066
2021-04-29	57913
2021-04-28	59776
2021-04-27	59111
2021-04-26	60600
2021-04-25	41780
2021-04-24	55621
2021-04-23	61014
2021-04-22	63295
2021-04-21	64329
2021-04-20	65231
2021-04-19	64078
2021-04-18	64158
2021-04-17	63900
2021-04-16	73434
2021-04-15	47046
2021-04-14	83165
2021-04-13	68531
2021-04-12	62202
2021-04-11	60714
2021-04-10	60875
2021-04-09	60520
2021-04-08	59899
2021-04-07	61933
2021-04-06	61098
2021-04-05	60251
2021-04-04	58719
2021-04-03	56819
2021-04-02	69491
2021-04-01	38885
2021-03-31	57755
2021-03-30	56969
2021-03-29	57516
2021-03-28	54538
2021-03-27	54527
2021-03-26	56112
2021-03-25	54141
2021-03-24	54657
2021-03-23	54689
2021-03-22	55382
2021-03-21	30702
2021-03-20	52767
2021-03-19	54861
2021-03-18	55060
2021-03-17	51711
2021-03-16	52220
2021-03-15	51301
2021-03-14	50173
2021-03-13	53464
2021-03-12	45592
2021-03-11	54617
2021-03-10	31511
2021-03-09	51316
2021-03-08	51000
2021-03-07	48929
2021-03-06	48267
2021-03-05	51495
2021-03-04	50363
2021-03-03	52214
2021-03-02	51456
2021-03-01	50297
2021-02-28	50837
2021-02-27	49721
2021-02-26	49572
2021-02-25	50116
2021-02-24	53335
2021-02-23	49244
2021-02-22	42359
2021-02-21	45134
2021-02-20	50694
2021-02-19	51827
2021-02-18	49063
2021-02-17	46845
2021-02-16	47136
2021-02-15	43132
2021-02-14	46841
2021-02-13	53641
2021-02-12	46998
2021-02-11	50298
2021-02-10	49325
2021-02-09	49038
2021-02-08	46413
2021-02-07	47853
2021-02-06	46723
2021-02-05	46724
2021-02-04	44060
2021-02-03	43904
2021-02-02	56094
2021-02-01	47151
2021-01-31	42355
2021-01-30	44938
2021-01-29	44449
2021-01-28	44597
2021-01-27	43357
2021-01-26	45201
2021-01-25	43272
2021-01-24	41625
2021-01-23	41660
2021-01-22	49629
2021-01-21	35026
2021-01-20	43452
2021-01-19	45287
2021-01-18	53338
2021-01-17	28524
2021-01-16	44466
2021-01-15	46995
2021-01-14	46873
2021-01-13	47974
2021-01-12	46719
2021-01-11	55149
2021-01-10	48077
2021-01-09	46747
2021-01-08	43133
2021-01-07	43087
2021-01-06	42047
2021-01-05	41402
2021-01-04	41178
2021-01-03	55270
2021-01-02	24537
2021-01-01	24459
2020-12-31	35891
2020-12-30	37488
2020-12-29	38832
2020-12-28	47636
2020-12-27	20292
2020-12-26	31959
2020-12-25	35019
2020-12-24	35500
2020-12-23	37282
2020-12-22	37988
2020-12-21	53362
2020-12-20	21744
2020-12-19	21862
2020-12-18	33838
2020-12-17	40222
2020-12-16	38981
2020-12-15	41372
2020-12-14	48096
2020-12-13	20618
2020-12-12	30708
2020-12-11	37533
2020-12-10	37847
2020-12-09	37881
2020-12-08	38020
2020-12-07	38693
2020-12-06	37758
2020-12-05	37725
2020-12-04	49588
2020-12-03	31146
2020-12-02	39817
2020-12-01	24436
2020-11-30	22454
2020-11-29	28575
2020-11-28	41860
2020-11-27	43723
2020-11-26	34541
2020-11-25	38068
2020-11-24	31534
2020-11-23	43956
2020-11-22	40943
2020-11-21	41827
2020-11-20	42671
2020-11-19	41854
2020-11-18	40742
2020-11-17	45561
2020-11-16	42115
2020-11-15	28764
2020-11-14	39989
2020-11-13	41574
2020-11-12	43246
2020-11-11	41024
2020-11-10	39859
2020-11-09	42116
2020-11-08	36309
2020-11-07	38713
2020-11-06	40327
2020-11-05	39071
2020-11-04	38652
2020-11-03	41373
2020-11-02	42469
2020-11-01	27088
2020-10-31	36739
2020-10-30	38370
2020-10-29	38463
2020-10-28	36106
2020-10-27	38350
2020-10-26	38476
2020-10-25	36931
2020-10-24	36211
2020-10-23	37887
2020-10-22	40577
2020-10-21	40851
2020-10-20	42310
2020-10-19	38212
2020-10-18	40118
2020-10-17	39380
2020-10-16	44179
2020-10-15	39076
2020-10-14	47878
2020-10-13	48785
2020-10-12	36839
2020-10-11	42310
2020-10-10	40726
2020-10-09	40191
2020-10-08	40591
2020-10-07	35547
2020-10-06	38173
2020-10-05	40929
2020-10-04	39590
2020-10-03	38753
2020-10-02	41563
2020-10-01	38519
2020-09-30	39327
2020-09-29	40411
2020-09-28	37366
2020-09-27	37686
2020-09-26	37671
2020-09-25	38346
2020-09-24	38349
2020-09-23	37223
2020-09-22	40925
2020-09-21	59500
2020-09-20	37259
2020-09-19	37494
2020-09-18	37654
2020-09-17	41192
2020-09-16	23836
2020-09-15	41290
2020-09-14	38389
2020-09-13	37080
2020-09-12	37873
2020-09-11	37750
2020-09-10	37784
2020-09-09	38215
2020-09-08	39075
2020-09-07	38970
2020-09-06	39171
2020-09-05	34784
2020-09-04	39539
2020-09-03	40199
2020-09-02	34630
2020-09-01	33605
2020-08-31	34332
2020-08-30	33822
2020-08-29	34072
2020-08-28	35273
2020-08-27	28919
2020-08-26	33072
2020-08-25	33607
2020-08-24	33854
2020-08-23	32152
2020-08-22	31901
2020-08-21	31189
2020-08-20	30849
2020-08-19	31078
2020-08-18	30985
2020-08-17	30227
2020-08-16	29204
2020-08-15	29402
2020-08-14	28697
2020-08-13	28283
2020-08-12	29161
2020-08-11	28881
2020-08-10	31759
2020-08-09	18923
2020-08-08	21379
2020-08-07	27927
2020-08-06	29660
2020-08-05	29237
2020-08-04	28077
2020-08-03	18809
2020-08-02	22236
2020-08-01	25743
2020-07-31	21314
2020-07-30	21482
2020-07-29	21309
2020-07-28	20606
2020-07-27	20777
2020-07-26	20142
2020-07-25	18998
2020-07-24	18672
2020-07-23	19803
2020-07-22	18786
2020-07-21	17407
2020-07-20	16076
2020-07-19	13927
2020-07-18	10067
2020-07-17	9558
2020-07-16	10209
2020-07-15	12007
2020-07-14	10353
2020-07-13	12134
2020-07-12	13645
2020-07-11	9694
2020-07-10	10560
2020-07-09	10646
2020-07-08	10666
2020-07-07	10032
2020-07-06	10426
2020-07-05	10325
2020-07-04	9033
2020-07-03	9396
2020-07-02	9695
2020-07-01	9611
2020-06-30	9657
2020-06-29	9298
2020-06-28	9672
2020-06-27	10512
2020-06-26	10858
2020-06-25	10567
2020-06-24	10730
2020-06-23	14321
2020-06-22	10847
2020-06-21	9886
2020-06-20	9987
2020-06-19	10635
2020-06-18	10588
2020-06-17	11292
2020-06-16	10440
2020-06-15	10695
2020-06-14	9322
2020-06-13	10529
2020-06-12	12364
2020-06-11	12688
2020-06-10	13150
2020-06-09	11904
2020-06-08	13960
2020-06-07	15676
2020-06-06	14834
2020-06-05	16242
2020-06-04	13577
2020-06-03	12073
2020-06-02	12716
2020-06-01	12410
2020-05-31	13008
2020-05-30	12862
2020-05-29	10549
2020-05-28	11142
2020-05-27	11243
2020-05-26	11991
2020-05-25	10722
2020-05-24	10168
2020-05-23	10462
2020-05-22	10681
2020-05-21	11732
2020-05-20	11736
2020-05-19	11467
2020-05-18	13000
2020-05-17	13099
2020-05-16	11650
2020-05-15	11363
2020-05-14	12135
2020-05-13	11329
2020-05-12	11390
2020-05-11	11257
2020-05-10	11661
2020-05-09	11581
2020-05-08	11552
2020-05-07	11232
2020-05-06	10869
2020-05-05	10545
2020-05-04	13548
2020-05-03	19555
2020-05-02	19866
2020-05-01	20868
2020-04-30	20601
2020-04-29	21369
2020-04-28	17421
2020-04-27	18060
2020-04-26	19046
2020-04-25	20899
2020-04-24	35245
2020-04-23	21078
2020-04-22	22828
2020-04-21	13092
2020-04-20	11573
2020-04-19	11486
2020-04-18	10875
2020-04-17	11864
2020-04-16	10251
2020-04-15	9669
2020-04-14	9706
2020-04-13	9979
2020-04-12	10043
2020-04-11	9915
2020-04-10	11012
2020-04-09	11675
2020-04-08	11046
2020-04-07	10321
2020-04-06	11179
2020-04-05	9298
2020-04-04	9597
2020-04-03	10207
2020-04-02	9600
2020-04-01	11286
2020-03-31	9768
2020-03-30	10185
2020-03-29	9090
2020-03-28	9350
2020-03-27	10887
2020-03-26	9375
2020-03-25	10021
2020-03-24	10322
2020-03-23	10357
2020-03-22	10831
2020-03-21	10585
2020-03-20	11256
2020-03-19	11167
2020-03-18	10658
2020-03-17	9778
2020-03-16	12544
2020-03-15	10888
2020-03-14	12227
2020-03-13	12878
2020-03-12	12520
2020-03-11	10062
2020-03-10	10767
2020-03-09	11057
2020-03-08	10074
2020-03-07	10432
2020-03-06	10017
2020-03-05	10225
2020-03-04	10514
2020-03-03	9983
2020-03-02	10043
2020-03-01	9605
2020-02-29	9632
2020-02-28	10495
2020-02-27	10051
2020-02-26	10643
2020-02-25	9773
2020-02-24	11220
2020-02-23	10247
2020-02-22	9381
2020-02-21	10582
2020-02-20	9259
2020-02-19	10679
2020-02-18	11135
2020-02-17	11042
2020-02-16	11524
2020-02-15	10725
2020-02-14	10590
2020-02-13	12227
2020-02-12	11716
2020-02-11	12434
2020-02-10	10975
2020-02-09	10736
2020-02-08	10664
2020-02-07	12704
2020-02-06	10846
2020-02-05	10930
2020-02-04	10613
2020-02-03	9927
2020-02-02	10607
2020-02-01	11362
2020-01-31	11132
2020-01-30	12332
2020-01-29	12788
2020-01-28	10889
2020-01-27	11291
2020-01-26	10945
2020-01-25	9348
2020-01-24	10483
2020-01-23	11597
2020-01-22	11157
2020-01-21	11168
2020-01-20	10583
2020-01-19	10834
2020-01-18	11525
2020-01-17	16497
2020-01-16	11853
2020-01-15	15727
2020-01-14	13503
2020-01-13	11166
2020-01-12	9750
2020-01-11	10569
2020-01-10	10248
2020-01-09	10130
2020-01-08	10603
2020-01-07	10755
2020-01-06	9972
2020-01-05	10035
2020-01-04	10059
2020-01-03	9776
2020-01-02	9672
2020-01-01	8986
2019-12-31	9914
2019-12-30	10234
2019-12-29	9664
2019-12-28	10737
2019-12-27	9595
2019-12-26	9312
2019-12-25	9692
2019-12-24	10438
2019-12-23	12251
2019-12-22	9158
2019-12-21	9964
2019-12-20	10100
2019-12-19	10422
2019-12-18	11040
2019-12-17	10707
2019-12-16	10715
2019-12-15	9678
2019-12-14	9827
2019-12-13	10585
2019-12-12	10329
2019-12-11	8844
2019-12-10	11028
2019-12-09	11331
2019-12-08	10446
2019-12-07	13470
2019-12-06	11399
2019-12-05	11446
2019-12-04	10869
2019-12-03	11628
2019-12-02	11103
2019-12-01	11219
2019-11-30	11616
2019-11-29	11709
2019-11-28	11427
2019-11-27	12528
2019-11-26	11259
2019-11-25	12473
2019-11-24	11747
2019-11-23	11166
2019-11-22	11892
2019-11-21	11666
2019-11-20	11767
2019-11-19	12384
2019-11-18	11844
2019-11-17	11470
2019-11-16	11766
2019-11-15	13489
2019-11-14	12823
2019-11-13	12853
2019-11-12	12801
2019-11-11	12716
2019-11-10	12503
2019-11-09	12710
2019-11-08	12795
2019-11-07	14027
2019-11-06	14078
2019-11-05	13711
2019-11-04	15507
2019-11-03	13492
2019-11-02	13908
2019-11-01	13802
2019-10-31	14915
2019-10-30	14730
2019-10-29	14771
2019-10-28	15471
2019-10-27	15454
2019-10-26	14966
2019-10-25	15895
2019-10-24	16104
2019-10-23	16163
2019-10-22	15665
2019-10-21	14293
2019-10-20	14032
2019-10-19	14254
2019-10-18	16185
2019-10-17	16001
2019-10-16	15560
2019-10-15	16628
2019-10-14	14496
2019-10-13	14133
2019-10-12	14375
2019-10-11	15243
2019-10-10	13903
2019-10-09	14029
2019-10-08	16009
2019-10-07	14243
2019-10-06	14264
2019-10-05	13639
2019-10-04	13170
2019-10-03	13048
2019-10-02	15272
2019-10-01	14595
2019-09-30	17567
2019-09-29	12882
2019-09-28	16114
2019-09-27	15491
2019-09-26	14335
2019-09-25	16918
2019-09-24	19246
2019-09-23	23734
2019-09-22	46972
2019-09-21	29007
2019-09-20	29669
2019-09-19	28705
2019-09-18	28025
2019-09-17	27740
2019-09-16	28975
2019-09-15	25610
2019-09-14	25700
2019-09-13	27133
2019-09-12	26743
2019-09-11	26160
2019-09-10	25744
2019-09-09	25519
2019-09-08	24403
2019-09-07	23506
2019-09-06	24739
2019-09-05	21826
2019-09-04	21786
2019-09-03	16125
2019-09-02	14691
2019-09-01	13838
2019-08-31	15357
2019-08-30	15345
2019-08-29	15115
2019-08-28	16455
2019-08-27	20879
2019-08-26	23633
