date	unique_recievers
2023-04-28	198348
2023-04-27	192731
2023-04-26	198655
2023-04-25	191423
2023-04-24	182690
2023-04-23	167340
2023-04-22	171376
2023-04-21	200187
2023-04-20	209253
2023-04-19	215136
2023-04-18	212834
2023-04-17	205062
2023-04-16	182291
2023-04-15	208547
2023-04-14	235538
2023-04-13	228105
2023-04-12	209940
2023-04-11	224314
2023-04-10	200206
2023-04-09	184821
2023-04-08	190695
2023-04-07	217169
2023-04-06	212819
2023-04-05	228264
2023-04-04	221075
2023-04-03	210126
2023-04-02	195070
2023-04-01	202347
2023-03-31	243674
2023-03-30	232189
2023-03-29	220627
2023-03-28	228621
2023-03-27	233776
2023-03-26	208527
2023-03-25	223066
2023-03-24	234624
2023-03-23	233915
2023-03-22	217527
2023-03-21	216617
2023-03-20	226942
2023-03-19	190800
2023-03-18	197691
2023-03-17	210474
2023-03-16	191885
2023-03-15	199430
2023-03-14	211977
2023-03-13	208997
2023-03-12	177105
2023-03-11	196124
2023-03-10	201042
2023-03-09	198818
2023-03-08	185079
2023-03-07	188719
2023-03-06	188867
2023-03-05	170913
2023-03-04	172263
2023-03-03	201705
2023-03-02	198258
2023-03-01	206987
2023-02-28	193579
2023-02-27	191806
2023-02-26	197595
2023-02-25	196462
2023-02-24	213000
2023-02-23	216167
2023-02-22	208304
2023-02-21	203023
2023-02-20	196570
2023-02-19	178308
2023-02-18	177337
2023-02-17	196133
2023-02-16	207516
2023-02-15	207406
2023-02-14	216513
2023-02-13	188342
2023-02-12	178726
2023-02-11	177873
2023-02-10	199766
2023-02-09	197488
2023-02-08	205786
2023-02-07	212757
2023-02-06	209423
2023-02-05	206291
2023-02-04	204581
2023-02-03	190492
2023-02-02	204279
2023-02-01	194596
2023-01-31	192312
2023-01-30	190389
2023-01-29	170762
2023-01-28	169827
2023-01-27	217884
2023-01-26	184288
2023-01-25	177431
2023-01-24	182558
2023-01-23	167273
2023-01-22	163147
2023-01-21	175427
2023-01-20	193000
2023-01-19	181257
2023-01-18	190694
2023-01-17	193022
2023-01-16	196224
2023-01-15	184104
2023-01-14	200677
2023-01-13	192874
2023-01-12	190201
2023-01-11	191249
2023-01-10	187658
2023-01-09	187309
2023-01-08	151421
2023-01-07	180196
2023-01-06	184736
2023-01-05	178011
2023-01-04	187140
2023-01-03	159779
2023-01-02	155484
2023-01-01	130374
2022-12-31	152746
2022-12-30	175625
2022-12-29	171533
2022-12-28	173252
2022-12-27	176139
2022-12-26	161794
2022-12-25	137699
2022-12-24	166540
2022-12-23	192140
2022-12-22	178749
2022-12-21	174557
2022-12-20	177927
2022-12-19	178121
2022-12-18	147483
2022-12-17	178124
2022-12-16	194051
2022-12-15	187754
2022-12-14	196430
2022-12-13	216873
2022-12-12	194429
2022-12-11	194992
2022-12-10	185724
2022-12-09	170138
2022-12-08	177637
2022-12-07	178365
2022-12-06	193568
2022-12-05	184523
2022-12-04	170190
2022-12-03	163493
2022-12-02	184354
2022-12-01	184325
2022-11-30	191938
2022-11-29	192507
2022-11-28	191467
2022-11-27	159418
2022-11-26	176690
2022-11-25	207383
2022-11-24	221234
2022-11-23	195961
2022-11-22	191251
2022-11-21	187797
2022-11-20	184679
2022-11-19	179560
2022-11-18	203316
2022-11-17	218377
2022-11-16	219627
2022-11-15	234694
2022-11-14	252045
2022-11-13	236101
2022-11-12	205499
2022-11-11	225243
2022-11-10	231708
2022-11-09	231841
2022-11-08	215600
2022-11-07	211105
2022-11-06	192921
2022-11-05	184540
2022-11-04	194416
2022-11-03	209227
2022-11-02	192425
2022-11-01	193105
2022-10-31	196503
2022-10-30	180221
2022-10-29	176602
2022-10-28	183559
2022-10-27	208506
2022-10-26	195339
2022-10-25	188180
2022-10-24	185652
2022-10-23	172553
2022-10-22	172406
2022-10-21	197924
2022-10-20	203881
2022-10-19	185063
2022-10-18	179335
2022-10-17	191284
2022-10-16	159464
2022-10-15	209669
2022-10-14	223662
2022-10-13	225692
2022-10-12	212860
2022-10-11	235094
2022-10-10	275634
2022-10-09	275221
2022-10-08	244964
2022-10-07	201145
2022-10-06	208140
2022-10-05	188586
2022-10-04	193766
2022-10-03	189623
2022-10-02	188671
2022-10-01	191044
2022-09-30	205846
2022-09-29	193601
2022-09-28	203207
2022-09-27	196062
2022-09-26	178577
2022-09-25	149714
2022-09-24	153652
2022-09-23	173382
2022-09-22	178423
2022-09-21	195483
2022-09-20	189271
2022-09-19	185663
2022-09-18	181947
2022-09-17	194331
2022-09-16	319456
2022-09-15	320819
2022-09-14	267916
2022-09-13	239944
2022-09-12	222756
2022-09-11	213725
2022-09-10	216178
2022-09-09	225877
2022-09-08	224194
2022-09-07	227022
2022-09-06	233632
2022-09-05	224838
2022-09-04	196218
2022-09-03	208345
2022-09-02	225621
2022-09-01	236090
2022-08-31	230440
2022-08-30	220678
2022-08-29	213747
2022-08-28	194995
2022-08-27	207655
2022-08-26	216933
2022-08-25	227346
2022-08-24	215357
2022-08-23	210653
2022-08-22	207528
2022-08-21	213031
2022-08-20	211103
2022-08-19	226988
2022-08-18	222035
2022-08-17	223722
2022-08-16	220118
2022-08-15	223132
2022-08-14	214648
2022-08-13	226406
2022-08-12	238327
2022-08-11	237208
2022-08-10	243747
2022-08-09	237445
2022-08-08	244193
2022-08-07	240350
2022-08-06	239672
2022-08-05	241046
2022-08-04	257333
2022-08-03	277815
2022-08-02	260118
2022-08-01	265686
2022-07-31	223788
2022-07-30	241195
2022-07-29	243610
2022-07-28	255575
2022-07-27	275561
2022-07-26	259442
2022-07-25	247817
2022-07-24	228174
2022-07-23	233443
2022-07-22	251166
2022-07-21	246456
2022-07-20	252594
2022-07-19	253249
2022-07-18	253675
2022-07-17	224045
2022-07-16	232661
2022-07-15	245792
2022-07-14	236927
