address	balance
0x00000000219ab540356cbb839cbe05303d7705fa	40990763376960633295804796
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2	3047769449625151057597935
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8	1996008385229756365635021
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a	1588926041443432376218754
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489	1493000793977280497891552
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf	1398923564608087249317539
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503	584999039631441227364527
0xe92d1a43df510f82c66382592a047d288f85226f	450118327413183663278977
0xbeb5fc579115071764c7423a4f12edde41f106ed	377217005845885007825748
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea	369498965361943022529452
0xafcd96e580138cfa2332c632e66308eacd45c5da	362707418024135468400001
0xf977814e90da44bfa03b6295a0616a897441acec	347700296510748868628377
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c	328053760463680861530138
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca	325000482265862080496497
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae	310273754881225672806713
0x3bfc20f0b9afcace800d73d2191166ff16540258	306276635471399926371556
0x8103683202aa8da10536036edef04cdd865c225e	275000033479033882764758
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76	254248454025475511346097
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9	250000022916068374462677
0x539c92186f7c6cc4cbf443f26ef84c595babbca1	250000009630099177999998
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f	250000001933637953364012
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f	250000001521829037599996
0x9845e1909dca337944a0272f1f9f7249833d2d19	244671400048223589801592
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2	243300003496553925783095
0x220866b1a2219f40e72f5c628b65d54268ca3a9d	243000022372934578461782
0x8696e84ab5e78983f2456bcb5c199eea9648c8c2	241619789473481416621565
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f	239820687915351607512205
