date	unique_senders
2023-05-24	402491
2023-05-23	388922
2023-05-22	381068
2023-05-21	376171
2023-05-20	416032
2023-05-19	440891
2023-05-18	441923
2023-05-17	388903
2023-05-16	394356
2023-05-15	366728
2023-05-14	313846
2023-05-13	315851
2023-05-12	337688
2023-05-11	369712
2023-05-10	359358
2023-05-09	310076
2023-05-08	288841
2023-05-07	272924
2023-05-06	301590
2023-05-05	287345
2023-05-04	284085
2023-05-03	318585
2023-05-02	328742
2023-05-01	322421
2023-04-30	289770
2023-04-29	277855
2023-04-28	308173
2023-04-27	330352
2023-04-26	289998
2023-04-25	376205
2023-04-24	319587
2023-04-23	252871
2023-04-22	276311
2023-04-21	294046
2023-04-20	310873
2023-04-19	330290
2023-04-18	338710
2023-04-17	332788
2023-04-16	345942
2023-04-15	316250
2023-04-14	318845
2023-04-13	336314
2023-04-12	346368
2023-04-11	354757
2023-04-10	346262
2023-04-09	350061
2023-04-08	387297
2023-04-07	402146
2023-04-06	435242
2023-04-05	410854
2023-04-04	420851
2023-04-03	430682
2023-04-02	370928
2023-04-01	410021
2023-03-31	482059
2023-03-30	391100
2023-03-29	406817
2023-03-28	434423
2023-03-27	371309
2023-03-26	360665
2023-03-25	393598
2023-03-24	401914
2023-03-23	375572
2023-03-22	367035
2023-03-21	359581
2023-03-20	424764
2023-03-19	376142
2023-03-18	388638
2023-03-17	378797
2023-03-16	360212
2023-03-15	342929
2023-03-14	347040
2023-03-13	349870
2023-03-12	306262
2023-03-11	317153
2023-03-10	394052
2023-03-09	330634
2023-03-08	312706
2023-03-07	313049
2023-03-06	317994
2023-03-05	327181
2023-03-04	309440
2023-03-03	321953
2023-03-02	344496
2023-03-01	398197
2023-02-28	263080
2023-02-27	342323
2023-02-26	352206
2023-02-25	293727
2023-02-24	299764
2023-02-23	266200
2023-02-22	284407
2023-02-21	275194
2023-02-20	301084
2023-02-19	265973
2023-02-18	278792
2023-02-17	285335
2023-02-16	261465
2023-02-15	257597
2023-02-14	248102
2023-02-13	300695
2023-02-12	264625
2023-02-11	260012
2023-02-10	278296
2023-02-09	254108
2023-02-08	296423
2023-02-07	281333
2023-02-06	271994
2023-02-05	282673
