date	total_transaction_volume
2023-09-10	556480.714429
2023-09-09	309328.024789
2023-09-08	573797.637482
2023-09-07	586468.156152
2023-09-06	536919.499795
2023-09-05	513806.665398
2023-09-04	463929.660888
2023-09-03	401769.228111
2023-09-02	636019.046485
2023-09-01	862356.093426
2023-08-31	941695.331619
2023-08-30	964620.878079
2023-08-29	1042635.530849
2023-08-28	794449.716411
2023-08-27	436886.013023
2023-08-26	383067.247269
2023-08-25	817356.939328
2023-08-24	551334.828798
2023-08-23	843632.930354
2023-08-22	694292.432587
2023-08-21	595878.004472
2023-08-20	429927.885686
2023-08-19	714272.259015
2023-08-18	1148601.149073
2023-08-17	1186052.712115
2023-08-16	1180359.29382
2023-08-15	885024.273212
2023-08-14	582268.70525
2023-08-13	406689.506107
2023-08-12	379177.368886
2023-08-11	750004.854134
2023-08-10	985398.346401
2023-08-09	569049.829941
2023-08-08	847183.928937
2023-08-07	1190704.400768
2023-08-06	476339.567441
2023-08-05	501463.898176
2023-08-04	566298.528675
2023-08-03	607463.040614
2023-08-02	1055723.200174
2023-08-01	1080343.733022
2023-07-31	1106025.990574
2023-07-30	1033556.443471
2023-07-29	605412.259368
2023-07-28	845318.404025
2023-07-27	1207908.337866
2023-07-26	1001317.658567
2023-07-25	1153105.046661
2023-07-24	1322122.9742
2023-07-23	938533.64295
2023-07-22	920644.13774
2023-07-21	1004484.469429
2023-07-20	1349136.688634
2023-07-19	1580619.906169
2023-07-18	1441390.043646
2023-07-17	1984502.792347
2023-07-16	1097900.066005
2023-07-15	1320329.257236
2023-07-14	1915856.373227
2023-07-13	1940415.364949
2023-07-12	1110372.884268
2023-07-11	1032584.847015
2023-07-10	1304938.287766
2023-07-09	623378.604581
2023-07-08	838015.147423
2023-07-07	1616926.4115
2023-07-06	2796418.225966
2023-07-05	1719501.668537
2023-07-04	1380351.05161
2023-07-03	1563777.619423
2023-07-02	1710292.649541
2023-07-01	1467021.735864
2023-06-30	2614392.528124
2023-06-29	1833551.018706
2023-06-28	1214590.078542
2023-06-27	3328385.790795
2023-06-26	2580762.058361
2023-06-25	2172119.004572
2023-06-24	1509204.960586
2023-06-23	1979849.347267
2023-06-22	1656129.094924
2023-06-21	2305542.549886
2023-06-20	616289.143925
2023-06-19	522428.995489
2023-06-18	333382.191677
2023-06-17	484908.330273
2023-06-16	537939.719275
2023-06-15	463993.241149
2023-06-14	634994.608125
2023-06-13	704702.770428
2023-06-12	585974.994278
2023-06-11	639760.312641
2023-06-10	1536963.497228
2023-06-09	412781.998201
2023-06-08	860693.384774
2023-06-07	687705.257899
2023-06-06	494629.943853
2023-06-05	719085.530084
2023-06-04	443207.204897
2023-06-03	628400.831727
2023-06-02	478879.23154
2023-06-01	507177.803204
2023-05-31	797178.673101
2023-05-30	607534.027369
2023-05-29	558802.074846
2023-05-28	722431.227289
2023-05-27	1068608.788772
2023-05-26	1214571.22863
2023-05-25	723695.797128
2023-05-24	820833.384208
2023-05-23	864677.321327
2023-05-22	807835.147316
2023-05-21	533617.518246
2023-05-20	555123.621542
2023-05-19	445993.62271
