date	unique_recievers
2023-05-19	28510
2023-05-18	29710
2023-05-17	30832
2023-05-16	112548
2023-05-15	52216
2023-05-14	25363
2023-05-13	20637
2023-05-12	112473
2023-05-11	59222
2023-05-10	43340
2023-05-09	51614
2023-05-08	36818
2023-05-07	20277
2023-05-06	19628
2023-05-05	105324
2023-05-04	33375
2023-05-03	26793
2023-05-02	48998
2023-05-01	32548
2023-04-30	32105
2023-04-29	29536
2023-04-28	27962
2023-04-27	20864
2023-04-26	23728
2023-04-25	57417
2023-04-24	25281
2023-04-23	26339
2023-04-22	23797
2023-04-21	24618
2023-04-20	23625
2023-04-19	22661
2023-04-18	45814
2023-04-17	25696
2023-04-16	23901
2023-04-15	20215
2023-04-14	24963
2023-04-13	23946
2023-04-12	25676
2023-04-11	48659
2023-04-10	19702
2023-04-09	22030
2023-04-08	24160
2023-04-07	31176
2023-04-06	26378
2023-04-05	25411
2023-04-04	47947
2023-04-03	25249
2023-04-02	28653
2023-04-01	39805
2023-03-31	25443
2023-03-30	24415
2023-03-29	33020
2023-03-28	51297
2023-03-27	22461
2023-03-26	19299
2023-03-25	21647
2023-03-24	28312
2023-03-23	28704
2023-03-22	30200
2023-03-21	56784
2023-03-20	33867
2023-03-19	32852
2023-03-18	32022
2023-03-17	27026
2023-03-16	23926
2023-03-15	27169
2023-03-14	131741
2023-03-13	67450
2023-03-12	19871
2023-03-11	19498
2023-03-10	29000
2023-03-09	29175
2023-03-08	24824
2023-03-07	47616
2023-03-06	24138
2023-03-05	22244
2023-03-04	21352
2023-03-03	26060
2023-03-02	25910
2023-03-01	29795
2023-02-28	58292
2023-02-27	23130
2023-02-26	21456
2023-02-25	21471
2023-02-24	29862
2023-02-23	23449
2023-02-22	23125
2023-02-21	54976
2023-02-20	23420
2023-02-19	18885
2023-02-18	19393
2023-02-17	25893
2023-02-16	25416
2023-02-15	26838
2023-02-14	54692
2023-02-13	26712
2023-02-12	25015
2023-02-11	33121
2023-02-10	24129
2023-02-09	24648
2023-02-08	24514
2023-02-07	50784
2023-02-06	23240
2023-02-05	25073
2023-02-04	31098
2023-02-03	31434
2023-02-02	40756
2023-02-01	35083
2023-01-31	61972
2023-01-30	32280
2023-01-29	26193
2023-01-28	23197
2023-01-27	32999
2023-01-26	23580
2023-01-25	28268
2023-01-24	56286
2023-01-23	28358
2023-01-22	30036
2023-01-21	28113
2023-01-20	26107
2023-01-19	25629
2023-01-18	27188
2023-01-17	62907
2023-01-16	27080
2023-01-15	24923
2023-01-14	23132
2023-01-13	30989
2023-01-12	30689
2023-01-11	28393
2023-01-10	62803
2023-01-09	31675
2023-01-08	25269
2023-01-07	22382
2023-01-06	30110
2023-01-05	32850
2023-01-04	33001
2023-01-03	70013
2023-01-02	29069
2023-01-01	33235
2022-12-31	34461
2022-12-30	44008
2022-12-29	36873
2022-12-28	31958
2022-12-27	64102
2022-12-26	26329
2022-12-25	26737
2022-12-24	21534
2022-12-23	24568
2022-12-22	23949
2022-12-21	25014
2022-12-20	61974
2022-12-19	23838
2022-12-18	23087
2022-12-17	25642
2022-12-16	24287
2022-12-15	25371
2022-12-14	26279
2022-12-13	66474
2022-12-12	30528
2022-12-11	34941
2022-12-10	29790
2022-12-09	37912
2022-12-08	30172
2022-12-07	32092
