date	average_transaction_value
2021-10-04	113979953157.661831565
2021-10-03	78403889025.882660531
2021-10-02	110887305768.799036778
2021-10-01	50986999036.524209167
2021-09-30	41825825440.689670525
2021-09-29	59851451122.896410918
2021-09-28	54592534991.149441918
2021-09-27	83906510963.585311871
2021-09-26	75032270791.109569476
2021-09-25	85850653725.78634611
2021-09-24	103868000029.217591665
2021-09-23	46476291862.28669972
2021-09-22	52540756654.92278481
2021-09-21	119049337659.728693478
2021-09-20	102137528598.115779093
2021-09-19	11442243247.700709525
2021-09-18	30900214722.712188612
2021-09-17	29693521373.711410788
2021-09-16	34030383573.586227192
2021-09-15	38117925254.316177899
2021-09-14	39007799647.45505618
2021-09-13	47153582538.675480312
2021-09-12	33854122629.777992651
2021-09-11	23626586108.364570231
2021-09-10	38721725586.717334407
2021-09-09	54899869486.963144481
2021-09-08	66457624427.187757504
2021-09-07	61464846908.571925754
2021-09-06	65950827173.080153369
2021-09-05	53697475822.358142711
2021-09-04	64324609626.397738164
2021-09-03	120466876434.83538936
2021-09-02	54378431508.620207668
2021-09-01	51911185628.570184532
2021-08-31	27516573999.473504617
2021-08-30	42768762091.515306122
2021-08-29	23872962340.612882653
2021-08-28	49431487416.831942251
2021-08-27	47693463783.717085641
2021-08-26	69560538111.516058249
2021-08-25	63608350520.262298347
2021-08-24	142191626025.326398168
2021-08-23	41798141865.053593611
2021-08-22	39927803212.861958609
2021-08-21	39287852778.650300394
2021-08-20	61486567273.303086997
2021-08-19	49834521805.160744863
2021-08-18	92232423573.639055705
2021-08-17	81858836400.639385692
2021-08-16	32763244429.474163569
2021-08-15	49921442158.214782965
2021-08-14	56551057299.122899372
2021-08-13	64311751728.625613748
2021-08-12	54942360486.568232211
2021-08-11	26460786369.307855218
2021-08-10	38610563257.829079028
2021-08-09	52266214314.213970293
2021-08-08	82952580885.926708342
2021-08-07	47293767097.016805021
2021-08-06	26521922017.400732917
2021-08-05	69453030464.435995501
2021-08-04	64976712229.712650853
2021-08-03	54653948968.759501825
2021-08-02	57524386683.054711246
2021-08-01	87374361200.714606283
2021-07-31	39257837347.079009182
2021-07-30	46450846965.625485123
2021-07-29	39540796749.537435456
2021-07-28	58141795122.462101064
2021-07-27	57362065407.96509009
2021-07-26	50655611920.449157582
2021-07-25	37097485572.29764404
2021-07-24	49045056359.412371134
2021-07-23	103129006315.420522217
2021-07-22	62132705364.033754355
2021-07-21	60876782882.357426363
2021-07-20	61733707697.685474983
2021-07-19	35932140428.588641762
2021-07-18	29998876865.000901104
2021-07-17	90037693886.192199907
2021-07-16	105518091632.026052104
2021-07-15	39566518859.828018474
2021-07-14	74659587764.889949239
2021-07-13	59597713918.913148637
2021-07-12	37858846156.311964874
2021-07-11	56516917572.401182033
2021-07-10	39224408304.344867898
2021-07-09	95840231912.619982548
2021-07-08	44325079666.289588801
2021-07-07	86522765814.765796125
2021-07-06	55453059963.379220257
2021-07-05	52308635872.510035918
2021-07-04	57032559446.055829228
2021-07-03	41723674232.464530387
2021-07-02	112069898988.640659562
2021-07-01	85421778499.540258144
2021-06-30	65054768963.0229073
2021-06-29	88569327928.259697687
2021-06-28	94119166861.251699235
2021-06-27	86630495430.941276389
2021-06-26	41760711014.362416107
2021-06-25	62912641266.872090343
2021-06-24	51849713931.706364062
2021-06-23	82408370082.543458371
2021-06-22	141725879265.806147047
2021-06-21	129257537199.985181957
2021-06-20	39987443405.010492923
2021-06-19	80148070873.196531792
2021-06-18	53412967912.330059447
2021-06-17	90809113431.733191035
2021-06-16	38119328204.931462274
2021-06-15	75329819439.883152174
2021-06-14	48201711162.463897764
2021-06-13	107722256997.606958157
2021-06-12	77319480376.703242481
2021-06-11	101842948464.413696263
2021-06-10	127372623130.810519645
2021-06-09	111063659084.148033327
2021-06-08	85375441756.876779951
2021-06-07	105509489079.691669957
2021-06-06	76334262040.34604489
2021-06-05	55012692793.583297827
2021-06-04	100568085529.727892521
2021-06-03	80431433854.628508859
2021-06-02	56842276288.172650579
2021-06-01	91383397168.972581579
2021-05-31	113859550653.599156118
2021-05-30	161991082602.896112173
2021-05-29	167362076871.556158437
2021-05-28	149812276239.903418644
2021-05-27	142863844615.553933649
2021-05-26	154097777085.107547908
2021-05-25	137750110902.777983007
2021-05-24	279911531120.272475795
2021-05-23	248997355409.355052265
2021-05-22	223628836738.213847676
2021-05-21	184088546693.983955413
2021-05-20	311694740477.969898042
2021-05-19	319505237453.199381534
2021-05-18	132109587805.710691824
2021-05-17	199937113728.050331576
2021-05-16	169884086752.165381166
2021-05-15	158843914029.484645954
2021-05-14	179147153565.926558222
2021-05-13	163226758801.757489939
2021-05-12	152074568059.522659648
2021-05-11	103466319699.516108038
2021-05-10	84121338977.803407206
2021-05-09	91176458429.477203647
2021-05-08	110756246212.987694301
2021-05-07	243886473199.947274882
2021-05-06	256790861346.764796418
2021-05-05	142164742444.689607133
2021-05-04	176024416435.489521938
2021-05-03	113876705644.879150514
2021-05-02	160139418633.622069754
2021-05-01	227751471410.265449438
2021-04-30	258320131296.019460253
2021-04-29	95186806366.495471926
2021-04-28	183954972114.582549345
2021-04-27	119034682229.663302091
2021-04-26	101410650205.550901578
2021-04-25	85954265453.294942108
2021-04-24	186868298619.227716966
2021-04-23	358974457336.297334245
2021-04-22	199934673026.933445096
2021-04-21	294952534744.533693138
2021-04-20	371140286976.646002317
2021-04-19	174318551016.950135993
2021-04-18	179031148594.311631823
2021-04-17	68820821656.892340369
2021-04-16	226613394599.441389485
2021-04-15	166123657192.818263473
2021-04-14	65424751373.097095672
2021-04-13	96330348496.749523507
2021-04-12	184986866141.687877872
2021-04-11	128667978915.150293255
2021-04-10	56719543924.617939118
2021-04-09	74132929462.348759007
2021-04-08	72846926964.217939734
2021-04-07	140267121186.049836474
2021-04-06	135850454737.048369133
2021-04-05	117755925140.891774892
2021-04-04	88738960800.556140623
2021-04-03	97034078182.72301601
2021-04-02	121460885804.838547995
2021-04-01	131966822782.992657856
2021-03-31	86497515484.978050026
2021-03-30	93398161896.888221791
2021-03-29	78659827942.066741899
2021-03-28	51939691395.451624815
2021-03-27	74167455224.795863136
2021-03-26	82891515030.77478673
2021-03-25	115542238540.452592155
2021-03-24	149388023988.519241599
2021-03-23	64424095223.656451911
2021-03-22	98623116807.639274477
2021-03-21	50460206475.264972777
2021-03-20	49398030179.928518791
2021-03-19	73440241447.899831295
2021-03-18	126604819956.739035088
2021-03-17	151510588235.258109177
2021-03-16	80771793674.403505197
2021-03-15	109049661128.106892523
2021-03-14	79054052927.554738724
2021-03-13	132025209266.50205174
2021-03-12	95611600841.618689788
2021-03-11	95552413022.928641092
2021-03-10	123106252743.994372538
2021-03-09	87164526084.376903553
2021-03-08	74083545382.265155807
2021-03-07	88785057156.817727091
2021-03-06	40712963013.155915026
2021-03-05	54773725504.951191827
2021-03-04	89998428629.749455338
2021-03-03	168024996836.146196849
2021-03-02	79676579338.213643306
2021-03-01	121772424255.301937208
2021-02-28	183568800076.353455524
2021-02-27	62019508146.704616999
2021-02-26	131836004286.508573331
2021-02-25	75304891212.757842971
2021-02-24	101884636520.559461599
2021-02-23	89608852849.825799971
2021-02-22	91690819851.615929705
2021-02-21	60258886968.610758581
2021-02-20	85607441143.63771518
2021-02-19	79245348206.980769231
2021-02-18	103625522144.839212469
