address	balance
0x00000000219ab540356cbb839cbe05303d7705fa	40990763376960633295804796
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2	3047769449625151057597935
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8	1996008385229756365635021
0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a	1588926041443432376218754
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489	1493000793977280497891552
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf	1398923564608087249317539
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503	584999039631441227364527
0xe92d1a43df510f82c66382592a047d288f85226f	450118327413183663278977
0xbeb5fc579115071764c7423a4f12edde41f106ed	377217005845885007825748
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea	369498965361943022529452
