date	total_gas_fee
2023-08-11	26410.712593
2023-08-10	15498.321618
2023-08-09	27208.550109
2023-08-08	22902.977235
2023-08-07	22110.598336
2023-08-06	18824.004857
2023-08-05	22834.875584
2023-08-04	30357.906052
2023-08-03	31112.086588
2023-08-02	29832.967131
2023-08-01	29533.678391
2023-07-31	28816.053405
2023-07-30	33960.450681
2023-07-29	31418.093611
2023-07-28	34876.263744
2023-07-27	40585.883871
2023-07-26	31870.785213
2023-07-25	38462.288647
2023-07-24	46166.097249
2023-07-23	24904.820825
2023-07-22	27110.921724
2023-07-21	29138.629022
2023-07-20	27978.179388
2023-07-19	21720.020149
2023-07-18	20777.184912
2023-07-17	19929.913753
2023-07-16	19949.282655
2023-07-15	22699.335339
2023-07-14	27394.862998
2023-07-13	26266.169527
2023-07-12	21446.534151
2023-07-11	21078.60182
2023-07-10	19087.735031
2023-07-09	17194.63153
2023-07-08	19064.107079
2023-07-07	22187.743153
2023-07-06	22682.895935
2023-07-05	23174.052919
2023-07-04	26085.229065
2023-07-03	5375.809532
2023-06-03	19047.343481
2023-06-02	52937.65639
2023-06-01	74569.281554
2023-05-31	60010.25809
2023-05-30	68286.109003
2023-05-29	84194.874402
2023-05-28	66412.85623
2023-05-27	69499.219986
2023-05-26	61328.700793
2023-05-25	63659.097228
2023-05-24	67705.895272
2023-05-23	81097.651057
2023-05-22	86843.431835
2023-05-21	67953.365452
2023-05-20	68260.287656
2023-05-19	52546.538888
2023-05-18	64000.193819
2023-05-17	94318.503746
2023-05-16	70797.594283
2023-05-15	33964.128912
2023-05-14	43573.854718
2023-05-13	49818.133326
2023-05-12	41219.54521
2023-05-11	45998.280082
2023-05-10	26213.886907
2023-05-09	27943.625589
2023-05-08	25503.55954
2023-05-07	21431.583477
2023-05-06	23464.264767
2023-05-05	21035.702497
2023-05-04	23238.952329
2023-05-03	23383.686938
2023-05-02	24054.64038
2023-05-01	22961.921976
2023-04-30	20921.526697
2023-04-29	18956.846168
2023-04-28	19687.74535
2023-04-27	22303.667026
2023-04-26	24599.571485
2023-04-25	18878.6542
2023-04-24	19434.502551
2023-04-23	16229.004133
2023-04-22	23129.718781
2023-04-21	30437.159912
2023-04-20	36833.868254
2023-04-19	276636.199091
2023-04-18	123927.783828
2023-04-17	73259.288008
2023-04-16	43297.772438
2023-04-15	43146.749528
2023-04-14	47958.969323
2023-04-13	47319.702919
2023-04-12	187465.778901
2023-04-11	188707.325841
2023-04-10	40276.832307
2023-04-09	41893.038829
2023-04-08	43832.293655
2023-04-07	44387.418601
2023-04-06	46182.490545
2023-04-05	47471.382244
2023-04-04	57858.707268
2023-04-03	58040.685903
2023-04-02	44156.724918
2023-04-01	45517.802708
2023-03-31	46997.911104
2023-03-30	42300.877535
2023-03-29	42857.175617
2023-03-28	39084.039516
2023-03-27	42133.037273
2023-03-26	40595.834768
2023-03-25	40136.692948
2023-03-24	46370.058723
2023-03-23	46045.273503
2023-03-22	41498.844965
2023-03-21	43125.175407
2023-03-20	41472.784354
2023-03-19	41127.361738
2023-03-18	42610.406588
2023-03-17	44765.513973
2023-03-16	41821.171713
2023-03-15	40030.648507
2023-03-14	45426.112288
2023-03-13	50146.685944
2023-03-12	42485.909549
2023-03-11	46003.245995
2023-03-10	50379.718042
2023-03-09	55775.914297
2023-03-08	47625.30014
2023-03-07	51336.356781
2023-03-06	46575.351735
2023-03-05	49014.73705
2023-03-04	51175.574827
2023-03-03	54146.596219
2023-03-02	30990.007418
2023-03-01	27723.921384
2023-02-28	24802.883165
2023-02-27	21374.190391
2023-02-26	21212.463985
2023-02-25	24806.026503
2023-02-24	28787.393735
2023-02-23	20720.145264
2023-02-22	22093.443727
2023-02-21	24343.082157
2023-02-20	22610.713541
2023-02-19	24710.888254
2023-02-18	23833.321746
2023-02-17	25729.103498
