date	total_gas_fee
2021-07-29	119861959
2021-07-28	117070981
2021-07-27	112737302
2021-07-26	142187078
2021-07-25	113798148
2021-07-24	103544161
2021-07-23	103451350
2021-07-22	106244933
2021-07-21	109549082
2021-07-20	107804805
2021-07-19	133769223
2021-07-18	95542894
2021-07-17	97954662
2021-07-16	115414522
2021-07-15	111782238
2021-07-14	112838418
2021-07-13	133210164
2021-07-12	117931544
2021-07-11	120897499
2021-07-10	104024649
2021-07-09	114358938
2021-07-08	129961721
2021-07-07	119887550
2021-07-06	128613198
2021-07-05	133291156
2021-07-04	125256283
2021-07-03	121948338
2021-07-02	127750697
2021-07-01	101873782
2021-06-30	86136122
2021-06-29	101456650
2021-06-28	73743354
2021-06-27	66449500
2021-06-26	65224521
2021-06-25	77886306
2021-06-24	83924927
2021-06-23	102578829
2021-06-22	79939778
2021-06-21	71806590
2021-06-20	73472678
2021-06-19	49427831
2021-06-18	36179199
2021-06-17	105418604
2021-06-16	98237018
2021-06-15	129539435
2021-06-14	104224686
2021-06-13	74568889
2021-06-12	90756864
2021-06-11	112425459
2021-06-10	109244249
2021-06-09	85410917
2021-06-08	107292841
2021-06-07	97373842
2021-06-06	86588976
2021-06-05	76247702
2021-06-04	81280824
2021-06-03	100006750
2021-06-02	94128905
2021-06-01	104485928
2021-05-31	87367038
2021-05-30	81262359
2021-05-29	117269322
2021-05-28	95958902
2021-05-27	94060066
2021-05-26	108175592
2021-05-25	113934807
2021-05-24	127047849
2021-05-23	124828711
2021-05-22	97313987
2021-05-21	108957189
2021-05-20	101377792
2021-05-19	117084727
2021-05-18	113290705
2021-05-17	120350596
2021-05-16	107022624
2021-05-15	84397925
2021-05-14	109352153
2021-05-13	134962663
2021-05-12	155564595
2021-05-11	130246239
2021-05-10	134238361
2021-05-09	110572229
2021-05-08	129004149
2021-05-07	186330752
2021-05-06	161455921
2021-05-05	145051381
2021-05-04	114864669
2021-05-03	117526862
2021-05-02	123435074
2021-05-01	95308475
2021-04-30	109442751
2021-04-29	95844429
2021-04-28	101285963
2021-04-27	120937957
2021-04-26	110736716
2021-04-25	92887510
2021-04-24	98767875
2021-04-23	120796379
2021-04-22	144881570
2021-04-21	122599209
2021-04-20	159335634
2021-04-19	142180412
2021-04-18	158696338
2021-04-17	164312811
2021-04-16	216321838
2021-04-15	149327669
2021-04-14	238777046
2021-04-13	175234276
2021-04-12	174520528
2021-04-11	160328781
2021-04-10	177768520
2021-04-09	136170973
2021-04-08	127568305
2021-04-07	175688516
2021-04-06	165942923
2021-04-05	138860407
2021-04-04	168754539
2021-04-03	131192553
2021-04-02	146870473
2021-04-01	128530730
2021-03-31	121144070
2021-03-30	135879532
2021-03-29	124267905
2021-03-28	111125258
2021-03-27	97339385
2021-03-26	98081274
2021-03-25	92139130
2021-03-24	104194732
2021-03-23	104753258
2021-03-22	103736338
2021-03-21	91922303
2021-03-20	101812262
2021-03-19	88548337
2021-03-18	119239282
2021-03-17	101994873
2021-03-16	105175708
2021-03-15	111920500
2021-03-14	98253829
2021-03-13	117834721
2021-03-12	101243316
2021-03-11	120255105
2021-03-10	78298640
2021-03-09	107706565
2021-03-08	118047447
2021-03-07	102702944
2021-03-06	114324772
2021-03-05	138035156
2021-03-04	114481897
2021-03-03	133305092
2021-03-02	113219866
2021-03-01	119225459
2021-02-28	126067697
2021-02-27	111164196
2021-02-26	122778172
2021-02-25	123213088
2021-02-24	146217896
2021-02-23	122522923
2021-02-22	128935956
2021-02-21	137348132
2021-02-20	141470795
2021-02-19	155162820
2021-02-18	126835212
2021-02-17	124902535
2021-02-16	130285853
2021-02-15	128372107
2021-02-14	140061744
2021-02-13	183831596
2021-02-12	146689976
2021-02-11	174850571
2021-02-10	147623946
2021-02-09	152774898
2021-02-08	122531652
2021-02-07	114249324
2021-02-06	120130418
2021-02-05	120310523
2021-02-04	116690020
2021-02-03	152666880
2021-02-02	127585871
2021-02-01	138132193
2021-01-31	106073935
2021-01-30	143742643
2021-01-29	156856099
2021-01-28	110203183
2021-01-27	123816814
2021-01-26	124371556
2021-01-25	98923599
2021-01-24	83254003
2021-01-23	98210778
2021-01-22	100532930
2021-01-21	106783237
2021-01-20	107559166
2021-01-19	107009566
2021-01-18	97939660
2021-01-17	92725157
2021-01-16	118654520
2021-01-15	105389137
2021-01-14	163906913
2021-01-13	149379121
2021-01-12	144375372
2021-01-11	231595379
2021-01-10	222251441
2021-01-09	154790593
2021-01-08	125310962
2021-01-07	127490406
2021-01-06	118712118
2021-01-05	105681649
2021-01-04	116855606
2021-01-03	172092862
2021-01-02	102930190
2021-01-01	95204527
2020-12-31	89526333
2020-12-30	86834466
2020-12-29	82373527
2020-12-28	91116642
2020-12-27	69013798
2020-12-26	75636722
2020-12-25	65546497
2020-12-24	55290333
2020-12-23	63395763
2020-12-22	82528757
2020-12-21	143991693
2020-12-20	104768604
2020-12-19	97160394
2020-12-18	187224381
2020-12-17	116086939
2020-12-16	97706039
2020-12-15	69892179
2020-12-14	62913454
2020-12-13	60206660
2020-12-12	59158446
2020-12-11	85715520
2020-12-10	69897641
2020-12-09	82007541
2020-12-08	69416201
2020-12-07	85860660
2020-12-06	62327414
2020-12-05	63484976
2020-12-04	73131374
2020-12-03	60357982
2020-12-02	77588288
2020-12-01	76662278
2020-11-30	86134863
2020-11-29	64348457
2020-11-28	66708051
2020-11-27	67846438
2020-11-26	93827617
2020-11-25	93067919
2020-11-24	133949345
2020-11-23	125471333
2020-11-22	103442466
2020-11-21	110434386
2020-11-20	92312323
2020-11-19	90465233
2020-11-18	81635251
2020-11-17	113988357
2020-11-16	91476663
2020-11-15	99099493
2020-11-14	98065519
2020-11-13	102220336
2020-11-12	118356755
2020-11-11	95867417
2020-11-10	100831916
2020-11-09	75454769
2020-11-08	81454688
2020-11-07	86946655
2020-11-06	92626721
2020-11-05	80714665
2020-11-04	80737512
2020-11-03	97829681
2020-11-02	93153127
2020-11-01	81100320
2020-10-31	84742150
2020-10-30	95373750
2020-10-29	82247143
2020-10-28	65162957
2020-10-27	69918700
2020-10-26	73738394
2020-10-25	75046318
2020-10-24	71675110
2020-10-23	87086353
2020-10-22	105189117
2020-10-21	103726116
2020-10-20	75896565
2020-10-19	92386888
2020-10-18	85021604
2020-10-17	78290061
2020-10-16	72126974
2020-10-15	87425414
2020-10-14	105513305
2020-10-13	115499319
2020-10-12	130936054
2020-10-11	139964621
2020-10-10	109950855
2020-10-09	79363459
2020-10-08	85909937
2020-10-07	72281432
2020-10-06	102211396
2020-10-05	96170657
2020-10-04	80542662
2020-10-03	73633397
2020-10-02	100097527
2020-10-01	112343193
2020-09-30	114920997
2020-09-29	88581939
2020-09-28	102288720
2020-09-27	95721772
2020-09-26	76985963
2020-09-25	105956170
2020-09-24	93624948
2020-09-23	92202689
2020-09-22	99401468
2020-09-21	101731529
2020-09-20	85019412
2020-09-19	76927670
2020-09-18	75760340
2020-09-17	87417295
2020-09-16	57660284
2020-09-15	102764813
2020-09-14	88230276
2020-09-13	87025113
2020-09-12	96248596
2020-09-11	92486154
2020-09-10	89284001
2020-09-09	92972581
2020-09-08	113503578
2020-09-07	106851102
2020-09-06	107439870
2020-09-05	100303712
2020-09-04	131071707
2020-09-03	113865623
2020-09-02	111199370
2020-09-01	111850974
2020-08-31	88483978
2020-08-30	92142235
2020-08-29	85042436
2020-08-28	82979002
2020-08-27	89405046
2020-08-26	83159319
2020-08-25	97552666
2020-08-24	94689552
2020-08-23	91697720
2020-08-22	91857981
2020-08-21	85907781
2020-08-20	90595314
2020-08-19	82941010
2020-08-18	78814732
2020-08-17	92126337
2020-08-16	80577551
2020-08-15	83477525
2020-08-14	107729554
2020-08-13	92618521
2020-08-12	88174862
2020-08-11	100731732
2020-08-10	100731573
2020-08-09	85335119
2020-08-08	86515185
2020-08-07	96478760
2020-08-06	110088106
2020-08-05	124745168
2020-08-04	89286393
2020-08-03	80371860
2020-08-02	110565039
2020-08-01	130646643
2020-07-31	113097197
2020-07-30	85542807
2020-07-29	93426992
2020-07-28	87655992
2020-07-27	110258197
2020-07-26	81391137
2020-07-25	73904310
2020-07-24	66460853
2020-07-23	77540710
2020-07-22	76978617
2020-07-21	99977619
2020-07-20	69081971
2020-07-19	55851795
2020-07-18	53355369
2020-07-17	65140881
