date	total_transaction_volume
2023-09-06	697201.701897
2023-09-05	710722.937562
2023-09-04	647188.868604
2023-09-03	485496.142231
2023-09-02	606921.538934
2023-09-01	928169.134787
2023-08-31	819757.209251
2023-08-30	996724.594398
2023-08-29	996346.510617
2023-08-28	906625.162465
2023-08-27	787372.415635
2023-08-26	578582.57902
2023-08-25	782152.492019
2023-08-24	860217.34429
2023-08-23	1064131.316912
2023-08-22	1052524.297176
2023-08-21	1018065.910133
2023-08-20	603806.412381
2023-08-19	663964.780524
2023-08-18	1007438.471287
2023-08-17	1218979.26841
2023-08-16	911735.144374
2023-08-15	802670.923818
2023-08-14	858431.967608
2023-08-13	623711.5013
2023-08-12	735684.315216
2023-08-11	818625.194824
2023-08-10	941072.419488
2023-08-09	873150.844014
2023-08-08	898828.735718
2023-08-07	894423.968834
2023-08-06	505741.631549
2023-08-05	581305.906349
2023-08-04	660473.318011
2023-08-03	690635.503508
2023-08-02	689168.233584
2023-08-01	757590.189685
2023-07-31	797988.165138
2023-07-30	625826.080236
2023-07-29	536663.1513
2023-07-28	786619.9205
2023-07-27	739623.50628
2023-07-26	701005.752017
2023-07-25	691905.038174
2023-07-24	752843.95636
2023-07-23	535511.357036
2023-07-22	526723.299148
2023-07-21	744311.184848
2023-07-20	864106.069915
2023-07-19	894747.301886
2023-07-18	1109685.064744
2023-07-17	865536.888588
2023-07-16	686696.667732
2023-07-15	680788.219596
2023-07-14	946356.151189
2023-07-13	930321.168979
2023-07-12	904499.004185
2023-07-11	815970.187602
2023-07-10	913774.637452
2023-07-09	721745.738213
2023-07-08	708110.538869
2023-07-07	924497.338365
2023-07-06	928908.847146
2023-07-05	855614.572387
2023-07-04	865320.442436
2023-07-03	929045.208527
2023-07-02	589951.418457
2023-07-01	760626.74914
2023-06-30	1147700.611109
2023-06-29	1141335.525932
2023-06-28	931843.228908
2023-06-27	989993.555701
2023-06-26	1042169.695893
2023-06-25	776166.188715
2023-06-24	729531.753078
2023-06-23	1059356.207418
2023-06-22	1175385.988533
2023-06-21	1219055.778624
2023-06-20	1060969.171651
2023-06-19	957852.912496
2023-06-18	755464.699155
2023-06-17	677173.320291
2023-06-16	992766.093337
2023-06-15	931644.119655
2023-06-14	960062.186741
2023-06-13	1001925.958224
2023-06-12	1167701.622404
2023-06-11	1025490.699731
2023-06-10	1031633.677347
2023-06-09	1118985.142505
2023-06-08	1059386.57146
2023-06-07	1020736.891815
2023-06-06	1353634.713884
2023-06-05	1536383.675304
2023-06-04	962564.392806
2023-06-03	819875.236603
2023-06-02	1256071.165149
2023-06-01	1100258.089713
2023-05-31	1390860.762412
2023-05-30	1012502.265341
2023-05-29	880581.26577
2023-05-28	630627.1937
2023-05-27	541931.897445
2023-05-26	720918.586345
2023-05-25	849143.148834
2023-05-24	991723.428545
2023-05-23	948190.138586
2023-05-22	837237.758247
2023-05-21	532324.906334
2023-05-20	488585.649618
2023-05-19	731605.866351
2023-05-18	834936.154468
2023-05-17	836811.194894
2023-05-16	884090.860376
2023-05-15	718574.087454
2023-05-14	521803.070498
2023-05-13	527760.243638
2023-05-12	961567.312531
2023-05-11	854687.577753
2023-05-10	847529.631775
2023-05-09	745971.008534
2023-05-08	800540.696422
2023-05-07	1020109.309878
2023-05-06	872788.127936
2023-05-05	821755.295787
2023-05-04	838973.715633
2023-05-03	951363.887107
2023-05-02	673165.504108
2023-05-01	816867.800378
2023-04-30	676938.353899
2023-04-29	589539.434361
2023-04-28	863516.847444
2023-04-27	869057.006213
2023-04-26	897233.85739
2023-04-25	797672.570881
2023-04-24	815330.554316
2023-04-23	487623.255367
2023-04-22	553571.777047
2023-04-21	838265.830389
2023-04-20	788964.697959
2023-04-19	786134.440626
2023-04-18	799434.549286
2023-04-17	1100206.067114
2023-04-16	634651.919927
2023-04-15	768118.801676
2023-04-14	1029306.275224
2023-04-13	778872.400001
2023-04-12	1182479.730979
2023-04-11	963260.870997
2023-04-10	947863.377769
2023-04-09	591051.89081
2023-04-08	583223.441488
2023-04-07	772690.665189
2023-04-06	1031407.781136
2023-04-05	1117417.629262
2023-04-04	1098520.057002
2023-04-03	1064866.083062
2023-04-02	753672.81919
2023-04-01	787630.273556
2023-03-31	1077365.231768
2023-03-30	1514168.422603
2023-03-29	1120186.12279
2023-03-28	1145221.34202
2023-03-27	1118894.876268
2023-03-26	736387.119334
2023-03-25	741608.261685
2023-03-24	1093192.69829
2023-03-23	1044625.163574
2023-03-22	1050567.944264
2023-03-21	1158929.578829
2023-03-20	1314125.881851
2023-03-19	885659.79276
2023-03-18	785430.403833
2023-03-17	1149279.610581
2023-03-16	863763.350034
2023-03-15	983348.811935
2023-03-14	1168826.66788
2023-03-13	1160391.556937
2023-03-12	669286.141022
2023-03-11	939584.329006
2023-03-10	996440.587422
2023-03-09	844190.954438
2023-03-08	868038.888011
2023-03-07	933882.014256
2023-03-06	769803.719009
2023-03-05	583585.367028
2023-03-04	574022.964879
2023-03-03	951626.147383
2023-03-02	818901.853659
2023-03-01	843483.442309
2023-02-28	840027.387657
2023-02-27	762396.426536
2023-02-26	550687.807453
2023-02-25	569976.562777
2023-02-24	850392.113507
2023-02-23	840061.721898
2023-02-22	813277.099998
2023-02-21	835617.713678
2023-02-20	698279.651225
2023-02-19	498507.275258
2023-02-18	606231.260339
2023-02-17	930402.371133
2023-02-16	1009943.341511
2023-02-15	814499.26465
2023-02-14	764498.939574
2023-02-13	872938.391431
2023-02-12	710143.129928
2023-02-11	824434.213967
2023-02-10	1382005.017689
2023-02-09	828184.783023
2023-02-08	659626.137965
2023-02-07	630915.680409
2023-02-06	671736.886666
2023-02-05	540584.565204
2023-02-04	507403.129633
2023-02-03	809822.773755
2023-02-02	776455.847158
2023-02-01	911899.763772
2023-01-31	908323.285966
2023-01-30	924370.82344
2023-01-29	573135.424198
2023-01-28	517435.047532
2023-01-27	789086.186435
2023-01-26	784070.950834
2023-01-25	847506.327913
2023-01-24	759210.126514
2023-01-23	848769.102892
2023-01-22	650097.114125
2023-01-21	838929.503487
2023-01-20	827030.573823
2023-01-19	814820.278557
2023-01-18	900026.678509
2023-01-17	1006166.233971
2023-01-16	828838.347969
2023-01-15	752455.537094
2023-01-14	923781.219979
2023-01-13	1086017.61123
2023-01-12	1084938.920425
2023-01-11	861426.980048
2023-01-10	976337.600116
2023-01-09	1053342.293093
2023-01-08	713516.526949
2023-01-07	746382.946551
2023-01-06	996723.063632
2023-01-05	880423.994073
2023-01-04	873364.010965
2023-01-03	826711.609462
2023-01-02	687118.977657
2023-01-01	557067.332262
2022-12-31	626344.320834
2022-12-30	886838.70215
2022-12-29	869143.275685
2022-12-28	873018.261219
2022-12-27	741006.804731
2022-12-26	659881.781289
2022-12-25	575331.16919
2022-12-24	605647.139873
2022-12-23	884534.802366
2022-12-22	821592.263028
2022-12-21	864794.505277
2022-12-20	992503.221005
2022-12-19	1048878.135591
2022-12-18	707201.717852
2022-12-17	788260.732686
2022-12-16	1122824.329111
2022-12-15	1035331.231555
2022-12-14	1372297.601168
2022-12-13	1262929.243717
2022-12-12	869451.699343
2022-12-11	629574.637555
2022-12-10	675374.872083
2022-12-09	881416.385003
2022-12-08	942080.832788
2022-12-07	894608.860757
2022-12-06	806304.571851
2022-12-05	922708.735468
2022-12-04	561992.004075
2022-12-03	686948.132729
2022-12-02	814875.128735
2022-12-01	891519.367442
2022-11-30	867578.712562
2022-11-29	943505.667524
2022-11-28	988137.383362
2022-11-27	693341.999576
2022-11-26	794920.334577
2022-11-25	1517766.101595
2022-11-24	929311.396851
2022-11-23	1271249.922802
2022-11-22	1528416.009695
2022-11-21	1744871.138302
2022-11-20	1633639.755075
2022-11-19	1188723.011353
